attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
47,50,208,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
44,61,186,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
44,61,-77,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
44,61,186,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
44,61,34,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
44,61,25,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
44,61,156,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
44,61,-93,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
44,61,-34,1336715,155684,128572,13855,7920,31696,4558,376337,0,0
51,67,-82,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,67,-137,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,67,204,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,67,-34,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,67,231,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,67,109,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,67,129,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,67,168,447150,102123,98600,45330,20063,27052,3636,412040,0,0
51,66,-104,607101,193118,114780,31362,10039,26436,2114,401923,0,0
51,66,184,607101,193118,114780,31362,10039,26436,2114,401923,0,0
51,66,-139,607101,193118,114780,31362,10039,26436,2114,401923,0,0
51,66,80,607101,193118,114780,31362,10039,26436,2114,401923,0,0
51,66,91,607101,193118,114780,31362,10039,26436,2114,401923,0,0
51,66,-60,607101,193118,114780,31362,10039,26436,2114,401923,0,0
51,66,65,607101,193118,114780,31362,10039,26436,2114,401923,0,0
51,66,-90,607101,193118,114780,31362,10039,26436,2114,401923,0,0
74,81,189,455201,29294,9288,9139,2559,7044,808,93988,0,0
74,81,211,455201,29294,9288,9139,2559,7044,808,93988,0,0
74,81,-149,455201,29294,9288,9139,2559,7044,808,93988,0,0
74,81,-157,455201,29294,9288,9139,2559,7044,808,93988,0,0
74,81,-52,455201,29294,9288,9139,2559,7044,808,93988,0,0
74,81,-296,455201,29294,9288,9139,2559,7044,808,93988,0,0
74,81,-104,455201,29294,9288,9139,2559,7044,808,93988,0,0
74,81,186,455201,29294,9288,9139,2559,7044,808,93988,0,0
47,53,105,378039,596000,34490,71664,18012,7377,2021,388457,0,0
47,53,208,378039,596000,34490,71664,18012,7377,2021,388457,0,0
47,53,193,378039,596000,34490,71664,18012,7377,2021,388457,0,0
47,53,129,378039,596000,34490,71664,18012,7377,2021,388457,0,0
47,53,-152,378039,596000,34490,71664,18012,7377,2021,388457,0,0
47,53,123,378039,596000,34490,71664,18012,7377,2021,388457,0,0
47,53,20,378039,596000,34490,71664,18012,7377,2021,388457,0,0
47,53,114,378039,596000,34490,71664,18012,7377,2021,388457,0,0
35,27,81,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
35,27,120,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
35,27,11,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
35,27,-87,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
35,27,-23,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
35,27,102,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
35,27,173,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
35,27,50,1145663,228507,43479,21037,12180,11915,4556,384125,0,0
38,40,-73,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,40,-65,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,40,-91,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,40,-4,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,40,73,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,40,-66,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,40,-18,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,40,-133,873737,113029,106943,63744,24927,23371,2057,351113,0,0
38,30,-85,690050,135136,39594,12573,12811,23731,3604,345657,0,0
38,30,-33,690050,135136,39594,12573,12811,23731,3604,345657,0,0
38,30,-72,690050,135136,39594,12573,12811,23731,3604,345657,0,0
38,30,21,690050,135136,39594,12573,12811,23731,3604,345657,0,0
38,30,162,690050,135136,39594,12573,12811,23731,3604,345657,0,0
38,30,137,690050,135136,39594,12573,12811,23731,3604,345657,0,0
38,30,68,690050,135136,39594,12573,12811,23731,3604,345657,0,0
38,30,-36,690050,135136,39594,12573,12811,23731,3604,345657,0,0
63,50,211,259154,38269,2552,17139,2879,4923,508,79596,0,0
63,50,165,259154,38269,2552,17139,2879,4923,508,79596,0,0
63,50,108,259154,38269,2552,17139,2879,4923,508,79596,0,0
63,50,-33,259154,38269,2552,17139,2879,4923,508,79596,0,0
63,50,75,259154,38269,2552,17139,2879,4923,508,79596,0,0
63,50,-67,259154,38269,2552,17139,2879,4923,508,79596,0,0
63,50,-2,259154,38269,2552,17139,2879,4923,508,79596,0,0
63,50,76,259154,38269,2552,17139,2879,4923,508,79596,0,0
66,44,-83,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
66,44,-92,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
66,44,76,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
66,44,16,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
66,44,133,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
66,44,81,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
66,44,-60,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
66,44,5,1468832,1942808,301768,132669,34623,144614,9784,1524322,0,0
63,30,69,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
63,30,22,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
63,30,26,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
63,30,7,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
63,30,-82,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
63,30,147,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
63,30,887,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
63,30,-314,789820,820828,317681,158033,60924,69389,6648,1353399,0,0
69,37,18,483070,29796,12857,4589,8088,10078,992,82905,0,0
69,37,124,483070,29796,12857,4589,8088,10078,992,82905,0,0
69,37,119,483070,29796,12857,4589,8088,10078,992,82905,0,0
69,37,-4,483070,29796,12857,4589,8088,10078,992,82905,0,0
69,37,-33,483070,29796,12857,4589,8088,10078,992,82905,0,0
69,37,-7,483070,29796,12857,4589,8088,10078,992,82905,0,0
69,37,91,483070,29796,12857,4589,8088,10078,992,82905,0,0
69,37,-34,483070,29796,12857,4589,8088,10078,992,82905,0,0
75,27,10,448049,38718,2143,11825,4333,6227,364,81168,0,0
75,27,-86,448049,38718,2143,11825,4333,6227,364,81168,0,0
75,27,-46,448049,38718,2143,11825,4333,6227,364,81168,0,0
75,27,71,448049,38718,2143,11825,4333,6227,364,81168,0,0
75,27,116,448049,38718,2143,11825,4333,6227,364,81168,0,0
75,27,97,448049,38718,2143,11825,4333,6227,364,81168,0,0
